Description	Parent Number	Parent Filing or 371(c) Date	Parent Status	Patent Number
This application is a Division of	11/844,179	08-23-2007	Abandoned	-
is a Division of	10/975,909	10-28-2004	Patented	7,271,248
is a Division of	09/950,041	09-10-2001	Abandoned	-
is a Continuation-in-part of	09/728,540	11-28-2000	Abandoned	-
Claims Priority from Provisional Application	60/207,558	05-25-2000	Expired	-
is a Continuation-in-part of	09/073,363	05-06-1998	Abandoned	-
Claims Priority from Provisional Application	60/076,947	03-05-1998	Expired	-
Claims Priority from Provisional Application	60/072,212	01-22-1998	Expired	-
Claims Priority from Provisional Application	60/044,293	05-07-1997	Expired	-

Child Continuity Data
